73.88,101,1.98,0.2,0.75,23.19,1.7,5.45,30,1.33,24,52,210,75,0.21,0.278,0.988,0.8,5.2,0.027,0.09,0.955,0.512,0.235,11,0,11,11,0,8699,435,0,1.09,2.4,0,5219,0,0,0,0.041,0.008,0.084,0,255,496,0
55.53,265,25.01,17.54,1.35,0,0,0,8,2.88,25,196,342,66,4.76,0.129,0.015,22.3,0,0.1,0.22,4.2,0.31,0.35,7,0,7,7,2.18,0,0,0,0.1782,0.5764,0,0.78652,0,0,0,6.91,7.6,0.66,57,364,85,2
55.91,238,32.48,10.97,1.45,0,0,0,11,3.9,33,267,465,77,6.4,0.149,0.019,23.6,0,0.14,0.33,4.3,0.43,0.5,10,0,10,10,3.69,0,0,0,0.14,1.7,0,0,0,0,0,4.02,4.43,1.51,99,247,85,21
88.53,50,1.45,1.98,1.33,6.71,1,0.58,24,1.03,17,35,278,258,0.19,0.102,0.166,2.2023,7.1,0.055,0.036,1.06,0.266,0.145,8,0,8,8,0,411,26.227,7.7045,0.21432,0.93636,14.045,90.727,0.45455,1051.9,14.818,0.29,0.56,0.941,0,3855,30,0
91.56,30,0.55,0.1,0.29,7.5,1.1,13.673,15,0.12,8,9,127,0,0.07,0.044,0.01,1.4,37,0.04,0.02,0.2,0.283,0.042,9,0,9,9,0,259,13,0,0.22943,1.8943,11.571,41.4,10.829,0,45.429,0.014,0.013,0.024,0,230,123,49
74.86,151,11.67,10.53,1.46,1.48,0,0,9,2.3,12,335,244,108,1.09,0.23,0.028,21.8,10.5,0.069,0.217,3.62,1.21,0.143,5,0,5,5,10.1,117,6,0,1.67,0.1,0,70,0,0,0,2.394,1.882,1.632,3100,391,85,0
93.43,22,0.62,0.48,0.97,4.5,2.8,1.2383,13,0.22,12,29,173,237,0.31,0.11,0.169,0.3,8,0.026,0.04,0.42,0.408,0.118,18,0,18,18,0,47,2,0,0.32831,51.684,31.422,743.61,2.5783,139.89,1082.1,0.086,0.24882,0.23428,0,160,102.86,0
2.48,515,9.57,26.13,1.44,60.48,3.7,50.75,102,1.16,69,190,347,50,1.76,0.505,0.664,4.1,0,0.063,0.106,3.362,0.627,0.09,55,0,55,55,0.32,80,22,22,2.85,3,0,0,0,0,0,10.169,8.086,3.456,8,54.4,18,0
83.23,65,2.86,0.15,0.67,13.09,4.4,3.16,25,0.82,22,51,169,35,0.49,0.083,0.379,0.3,3.2,0.071,0.12,0.851,0.151,0.074,19,0,19,19,0,4277,214,0,0.44,16,968,2082,0,0,637,0.031,0.01,0.072,0,275,91,0
90.27,31,1.82,0.12,0.66,7.13,3.4,1.4,37,1.04,25,38,209,6,0.24,0.069,0.214,0.6,16.3,0.084,0.105,0.752,0.094,0.074,37,0,37,37,0,690,35,0,0.41,14.4,69,379,0,0,640,0.026,0.005,0.059,0,110,55,12
